"","genes","logFC","logCPM","LR","PValue","FDR","symbol"
"ENSG00000153113","ENSG00000153113",-0.154008897566983,9.39864770701049,18.8981057053061,1.37889523503899e-05,0.00419167736032388,"CAST"
"ENSG00000072310","ENSG00000072310",-0.107580748701428,10.0867671609262,18.7516371171296,1.48895481288929e-05,0.0044263961737567,"SREBF1"
"ENSG00000113712","ENSG00000113712",-0.136329587405592,9.56591298672236,18.7493039011642,1.49077764222861e-05,0.0044263961737567,"CSNK1A1"
"ENSG00000096384","ENSG00000096384",-0.0938621763874511,10.4950646159974,18.6141849973137,1.6002540009871e-05,0.00469683746151787,"HSP90AB1"
"ENSG00000171346","ENSG00000171346",-0.160914448263287,9.78482196176453,18.4449735583403,1.74881493568765e-05,0.00507454424804365,"KRT15"
"ENSG00000143799","ENSG00000143799",-0.148208173998859,9.45347324143589,18.3918017205215,1.7983004588602e-05,0.00515950586707811,"PARP1"
"ENSG00000196517","ENSG00000196517",-0.171539287730868,9.23791458017379,18.3222201372791,1.86518928856745e-05,0.00527006771137829,"SLC6A9"
"ENSG00000172339","ENSG00000172339",0.160518092874764,9.29836383741773,18.3090654768675,1.87811302813951e-05,0.00527006771137829,"ALG14"
"ENSG00000246705","ENSG00000246705",0.0813243555550707,11.4031094707119,18.2489055223996,1.93837294986543e-05,0.00538003839943627,"H2AFJ"
"ENSG00000123124","ENSG00000123124",-0.165999289281118,9.31372621893464,18.0943459279588,2.10224756833438e-05,0.00577213888789444,"WWP1"
"ENSG00000170323","ENSG00000170323",0.135075588228465,9.23062993118806,18.0348298881163,2.16900084443431e-05,0.00589206771942874,"FABP4"
"ENSG00000106538","ENSG00000106538",0.121610052442162,9.70913376542329,17.9773085624693,2.23554011121907e-05,0.00600889649894514,"RARRES2"
"ENSG00000138080","ENSG00000138080",0.128611845573008,9.54777708938315,17.9504103211511,2.26735535684821e-05,0.00603092906636656,"EMILIN1"
"ENSG00000163938","ENSG00000163938",-0.164443096972464,9.2963855669945,17.8814070573317,2.35106862244221e-05,0.00613115929258902,"GNL3"
"ENSG00000134265","ENSG00000134265",-0.154645323213511,9.2396633365343,17.8722773990612,2.36237471769618e-05,0.00613115929258902,"NAPG"
"ENSG00000232931","ENSG00000232931",-0.172565212675021,9.32802386813452,17.8604765416967,2.37706978643553e-05,0.00613115929258902,NA
"ENSG00000117984","ENSG00000117984",0.059249411109279,11.7415041238838,17.7940667841685,2.46149633626647e-05,0.00628543089465644,"CTSD"
"ENSG00000131473","ENSG00000131473",-0.149795244710948,9.41728559384829,17.7178408744185,2.56212316597311e-05,0.00647760544981419,"ACLY"
"ENSG00000165476","ENSG00000165476",-0.146913141799794,9.44402901638571,17.6960396738978,2.59165618882455e-05,0.0064880334099642,"REEP3"
"ENSG00000256045","ENSG00000256045",0.126007467745764,9.70681986580423,17.6665844504678,2.63210180149604e-05,0.00652531257293218,"MTRNR2L10"
"ENSG00000079459","ENSG00000079459",-0.128402106951284,9.60693829466429,17.6128867090847,2.70747462529957e-05,0.00664763120740619,"FDFT1"
"ENSG00000138796","ENSG00000138796",-0.157129779432595,9.42927459236624,17.1501556345793,3.45381113393076e-05,0.00833535737950215,"HADH"
"ENSG00000101335","ENSG00000101335",0.0876833820519469,10.4148248992457,17.1466757618182,3.46014443793706e-05,0.00833535737950215,"MYL9"
"ENSG00000138495","ENSG00000138495",-0.155723646880042,9.35483678115539,17.1222808127241,3.50487175911077e-05,0.00836419629615827,"COX17"
"ENSG00000203880","ENSG00000203880",-0.154953861947458,9.34655119092665,17.0359282106947,3.66791791123276e-05,0.00867224850586375,"PCMTD2"
"ENSG00000123562","ENSG00000123562",-0.12673990718229,9.74500974612139,17.0003536425611,3.73728568447269e-05,0.00875519173880827,"MORF4L2"
"ENSG00000085741","ENSG00000085741",0.145370836669478,9.34514561636269,16.905764535757,3.92821069268156e-05,0.00911880545796577,"WNT11"
"ENSG00000135480","ENSG00000135480",-0.0917682351876891,10.1595867197148,16.8419640084758,4.06249794205686e-05,0.00934557522075874,"KRT7"
"ENSG00000169908","ENSG00000169908",-0.123291278343112,9.84910456267838,16.8076028332544,4.13672360192463e-05,0.00935752769490746,"TM4SF1"
"ENSG00000004142","ENSG00000004142",-0.138079071766865,9.47696484500476,16.8056487704489,4.14098542989835e-05,0.00935752769490746,"POLDIP2"
"ENSG00000144749","ENSG00000144749",-0.14872897262979,9.41907984533922,16.7262457700708,4.31794985448785e-05,0.00958940070962272,"LRIG1"
"ENSG00000142875","ENSG00000142875",-0.156142079013765,9.52610271775204,16.7254453546702,4.3197719043078e-05,0.00958940070962272,"PRKACB"
"ENSG00000130312","ENSG00000130312",-0.159671473398296,9.33012383054016,16.7094882846977,4.35625800789597e-05,0.00958940070962272,"MRPL34"
"ENSG00000130234","ENSG00000130234",0.0831284284099739,9.24530711625183,16.6662704310079,4.4566398771091e-05,0.00969505061400842,"ACE2"
"ENSG00000086598","ENSG00000086598",-0.110815941704211,9.7302834120029,16.6422546673566,4.51342303630556e-05,0.00969505061400842,"TMED2"
"ENSG00000008710","ENSG00000008710",-0.138147822273523,9.46540006239049,16.640266833987,4.5181555632152e-05,0.00969505061400842,"PKD1"
